248, 497, 510, 500, 8319, 60760, 2020-12-15 14:35:50.024187
247, 497, 508, 501, 8263, 60689, 2020-12-15 14:35:50.054394
248, 497, 508, 500, 8327, 60681, 2020-12-15 14:35:50.122075
248, 497, 508, 500, 8333, 60661, 2020-12-15 14:35:50.145362
248, 496, 508, 500, 8314, 60634, 2020-12-15 14:35:50.174187
248, 496, 508, 500, 8312, 60641, 2020-12-15 14:35:50.295151
249, 496, 510, 501, 8336, 60671, 2020-12-15 14:35:50.351169
248, 495, 508, 501, 8332, 60593, 2020-12-15 14:35:50.369636
248, 497, 507, 500, 8337, 60604, 2020-12-15 14:35:50.381142
250, 496, 508, 501, 8356, 60660, 2020-12-15 14:35:50.471417
250, 496, 508, 502, 8367, 60663, 2020-12-15 14:35:50.481308
249, 496, 509, 502, 8348, 60777, 2020-12-15 14:35:50.501867
249, 496, 509, 501, 8349, 60650, 2020-12-15 14:35:50.656542
248, 496, 508, 500, 8342, 60601, 2020-12-15 14:35:50.693335
248, 496, 508, 500, 8333, 60491, 2020-12-15 14:35:50.767735
248, 495, 508, 501, 8339, 60432, 2020-12-15 14:35:50.781154
248, 496, 508, 501, 8334, 60525, 2020-12-15 14:35:50.801561
248, 496, 508, 500, 8435, 60529, 2020-12-15 14:35:50.916669
248, 499, 508, 502, 8269, 60487, 2020-12-15 14:35:50.972775
248, 497, 508, 500, 8313, 60581, 2020-12-15 14:35:50.991087
249, 497, 508, 500, 8339, 60598, 2020-12-15 14:35:51.015486
248, 496, 508, 500, 8351, 60602, 2020-12-15 14:35:51.048148
248, 496, 508, 500, 8341, 60580, 2020-12-15 14:35:51.073135
248, 496, 508, 501, 8361, 60541, 2020-12-15 14:35:51.112403
248, 496, 508, 502, 8333, 60509, 2020-12-15 14:35:51.183258
248, 496, 508, 501, 8389, 60412, 2020-12-15 14:35:51.234020
248, 496, 508, 501, 8406, 60460, 2020-12-15 14:35:51.342289
249, 496, 508, 500, 8473, 60415, 2020-12-15 14:35:51.382187
249, 497, 509, 501, 8422, 60398, 2020-12-15 14:35:51.410321
251, 496, 508, 502, 8403, 60286, 2020-12-15 14:35:51.478761
250, 495, 508, 501, 8366, 60418, 2020-12-15 14:35:51.521365
248, 495, 508, 500, 8411, 60344, 2020-12-15 14:35:51.562783
250, 497, 508, 504, 8407, 60356, 2020-12-15 14:35:51.581119
249, 497, 508, 501, 8404, 60346, 2020-12-15 14:35:51.616060
249, 496, 508, 501, 8418, 60340, 2020-12-15 14:35:51.703328
248, 497, 508, 501, 8362, 60215, 2020-12-15 14:35:51.748185
249, 496, 508, 501, 8354, 60221, 2020-12-15 14:35:51.760626
249, 495, 508, 501, 8341, 60194, 2020-12-15 14:35:51.795986
249, 496, 508, 500, 8322, 60233, 2020-12-15 14:35:51.877054
249, 495, 508, 501, 8293, 60227, 2020-12-15 14:35:51.914642
249, 496, 508, 501, 8250, 60169, 2020-12-15 14:35:52.122212
249, 496, 508, 501, 8237, 60185, 2020-12-15 14:35:52.134987
249, 496, 511, 500, 8221, 60191, 2020-12-15 14:35:52.163741
249, 497, 508, 501, 8216, 60195, 2020-12-15 14:35:52.182187
249, 495, 508, 501, 8209, 60181, 2020-12-15 14:35:52.213912
250, 496, 508, 501, 8202, 60168, 2020-12-15 14:35:52.246799
248, 497, 509, 502, 8178, 60149, 2020-12-15 14:35:52.277298
248, 495, 508, 503, 8167, 60142, 2020-12-15 14:35:52.347796
249, 498, 508, 501, 8121, 60088, 2020-12-15 14:35:52.365826
249, 495, 509, 501, 8197, 60080, 2020-12-15 14:35:52.428195
249, 496, 508, 502, 8096, 60029, 2020-12-15 14:35:52.499463
249, 495, 509, 502, 8068, 59952, 2020-12-15 14:35:52.525623
249, 497, 508, 502, 8054, 59962, 2020-12-15 14:35:52.577199
249, 497, 509, 502, 7950, 59998, 2020-12-15 14:35:52.651882
247, 496, 508, 502, 7971, 59937, 2020-12-15 14:35:52.656155
248, 496, 508, 501, 7910, 59984, 2020-12-15 14:35:52.668329
